year,month,day,lat,lon,sm_50
2019,8,28,35.97,-79.09,0.28
2019,8,28,43.66,-110.71,nan
2019,8,28,44.93,-68.7,0.85
2019,8,28,43.46,-113.56,nan
2019,8,28,38.3,-111.29,nan
2019,8,28,40.76,-81.91,nan
2019,8,28,36.6,-101.59,0.69
2019,8,28,46.96,-67.88,nan
2019,8,28,43.73,-96.62,nan
2019,8,28,38.32,-123.07,0.71
2019,8,28,37.86,-103.82,0.56
2019,8,28,48.49,-105.21,0.01
2019,8,28,43.17,-70.93,nan
2019,8,28,63.45,-150.87,nan
2019,8,28,46.89,-103.38,nan
2019,8,28,64.97,-147.51,nan
2019,8,28,41.56,-93.29,0.75
2019,8,28,35.49,-82.61,nan
2019,8,28,35.86,-106.52,0.06
2019,8,28,40.7,-96.85,nan
2019,8,28,59.51,-139.68,nan
2019,8,28,31.19,-84.45,nan
2019,8,28,33.96,-102.77,nan
2019,8,28,68.65,-149.4,nan
2019,8,28,32.61,-106.74,0.28
2019,8,28,34.41,-119.88,1
2019,8,28,27.15,-81.37,nan
2019,8,28,28.62,-80.69,nan
2019,8,28,45.16,-113.01,nan
2019,8,28,30.62,-98.08,nan
2019,8,28,44.06,-90.17,0.78
2019,8,28,44.56,-119.65,0.07
2019,8,28,46.11,-92.99,0.42
2019,8,28,34.36,-106.89,0.99
2019,8,28,30.55,-87.88,0.51
2019,8,28,19.65,-155.08,nan
2019,8,28,40.05,-88.37,0.3
2019,8,28,31.88,-87.74,nan
2019,8,28,45.71,-99.13,0.52
2019,8,28,40.04,-105.54,nan
2019,8,28,48.31,-105.1,0.2
2019,8,28,36.12,-97.09,0.89
2019,8,28,39.01,-79.47,0.4
2019,8,28,25.9,-81.32,nan
2019,8,28,41.48,-71.54,0.7
2019,8,28,37.26,-108.5,0.85
2019,8,28,32.34,-89.07,1
2019,8,28,32.46,-87.24,0.63
2019,8,28,48.31,-95.87,0.35
2019,8,28,31.79,-86,nan
2019,8,28,44.02,-100.35,0.93
2019,8,28,32.84,-88.14,nan
2019,8,28,29.35,-103.21,nan
2019,8,28,42.07,-101.44,0.98
2019,8,28,33.36,-81.33,nan
2019,8,28,31.78,-95.72,nan
2019,8,28,41.84,-88.85,0.41
2019,8,28,60.2,-154.32,nan
2019,8,28,31.62,-102.81,0.72
2019,8,28,33.15,-79.36,0.12
2019,8,28,37.43,-94.58,nan
2019,8,28,68.49,-155.75,nan
2019,8,28,62.74,-141.21,nan
2019,8,28,39.1,-96.61,nan
2019,8,28,32.72,-87.62,nan
2019,8,28,47.42,-117.53,0.13
2019,8,28,37.24,-120.88,0.15
2019,8,28,46.88,-110.29,0.97
2019,8,28,38.89,-86.57,0.67
2019,8,28,33.44,-117.19,nan
2019,8,28,36.57,-101.61,0.63
2019,8,28,48.54,-121.45,0.71
2019,8,28,57.06,-135.33,nan
2019,8,28,60.47,-145.35,nan
2019,8,28,68.03,-162.92,nan
2019,8,28,31.14,-87.05,nan
2019,8,28,42.42,-103.74,1
2019,8,28,38.09,-84.75,0
2019,8,28,35.82,-91.78,0.66
2019,8,28,36.62,-116.02,0.99
2019,8,28,43.27,-124.32,nan
2019,8,28,60.72,-150.45,0
2019,8,28,36.01,-85.13,0.34
2019,8,28,55.05,-131.59,nan
2019,8,28,41.85,-119.64,nan
2019,8,28,34.57,-85.62,nan
2019,8,28,41.79,-73.74,0.22
2019,8,28,31.92,-86.31,nan
2019,8,28,30.09,-91.87,0.64
2019,8,28,41.62,-112.54,0.86
2019,8,28,58.21,-155.92,nan
2019,8,28,37.29,-75.93,0.23
2019,8,28,40.24,-108.97,0.05
2019,8,28,40.81,-104.76,0.5
2019,8,28,38,-78.47,nan
2019,8,28,43.2,-116.75,0.11
2019,8,28,36.6,-117.14,nan
2019,8,28,34.45,-87.71,nan
2019,8,28,46.77,-99.48,nan
2019,8,28,37.76,-119.82,0.82
2019,8,28,38.54,-107.69,0.01
2019,8,28,30.81,-81.46,0.74
2019,8,28,42.68,-108.67,nan
2019,8,28,31.59,-110.51,nan
2019,8,28,58.43,-135.69,nan
2019,8,28,32.24,-111.17,nan
2019,8,28,32.85,-86.61,nan
2019,8,28,33.57,-86.06,nan
2019,8,28,63.03,-145.5,nan
2019,8,28,48.97,-102.17,0
2019,8,28,48.74,-113.43,nan
2019,8,28,64.5,-154.13,nan
2019,8,28,39.86,-75.79,0.13
2019,8,28,43.11,-70.95,nan
2019,8,28,34.2,-86.8,nan
2019,8,28,35.76,-112.34,nan
2019,8,28,32.88,-92.12,nan
2019,8,28,37.25,-86.23,nan
2019,8,28,40.65,-122.61,0.99
2019,8,28,33.21,-87.59,nan
2019,8,28,57.16,-170.21,nan
2019,8,28,33.78,-83.39,0.52
2019,8,28,38.87,-100.96,0.61
2019,8,28,34.66,-87.35,nan
2019,8,28,31.31,-84.47,0.9
2019,8,28,70.16,-148.46,nan
2019,8,28,36.13,-97.11,0.96
2019,8,28,32.84,-114.19,nan
2019,8,28,44.23,-79.78,nan
2019,8,28,0.269141531,36.699,0.47
